Row Labels,Sum of TotalHH
NG002001,24943
NG002002,37164
NG002003,34908
NG002004,31606
NG002005,37895
NG002006,22749
NG002007,48228
NG002008,27836
NG002009,17822
NG002010,4607
NG002011,8154
NG002012,30235
NG002013,14261
NG002016,180
NG008002,15893
NG008003,35064
NG008004,24813
NG008005,40893
NG008006,11887
NG008007,24905
NG008008,23146
NG008009,6288
NG008010,709
NG008011,53402
NG008012,51240
NG008013,97778
NG008014,18702
NG008015,2180
NG008016,40824
NG008017,56
NG008018,23387
NG008019,6897
NG008020,16400
NG008021,155544
NG036001,19420
NG036002,16315
NG036003,38735
NG036004,22655
NG036005,33672
NG036007,22504
NG036008,8145
NG036009,19144
NG036010,12881
NG036011,13992
Grand Total,1198059
